Zipcode,Number of Stations,Population,Household Income,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household,latitude,longitude
94010,9,384840,1371492,176409,10.98300336,134280,8.360104595,338.2835886,-1101.203164
94014,11,540870,1000670,292853,20.85253489,185020,13.17430931,414.6250661,-1347.043296
94015,7,455287,668787,244552,12.0498645,173635,8.555555556,263.731038,-857.324648
94019,8,164096,1094064,80984,10.86741814,70320,9.436392915,299.721134,-979.516261
94022,28,543368,6268052,194320,26.98139406,170800,23.71563455,1046.656613,-3419.368348
94024,6,142050,1500006,56334,7.208445298,51300,6.564299424,224.163533,-732.531213
94025,361,15664512,58419547,6943474,459.6500728,5268795,348.7882298,13529.0842,-44102.29607
94027,3,22245,750003,7623,3.288610871,6390,2.756686799,112.382466,-366.585877
94028,3,21375,702273,6543,2.608851675,5745,2.290669856,112.138573,-366.680044
94030,14,316750,1798916,151102,18.94458375,107520,13.48044132,526.44349,-1713.483372
94038,1,3450,120438,1336,1.154710458,1035,0.894554883,37.521966,-122.513616
94040,63,2301138,8774514,1196118,82.11148486,938070,64.39692456,2355.790279,-7692.253357
94041,19,276868,2656542,154926,24.83584482,115805,18.56444373,710.4363266,-2319.504103
94043,25,779025,3455800,436025,33.42212172,324000,24.83519853,935.1107056,-3051.620803
94044,9,350856,1129500,181908,13.22967273,147735,10.74436364,338.517913,-1102.425748
94061,16,624368,1801744,330176,23.68211161,268960,19.29134988,599.293426,-1956.035743
94062,3,85269,535440,39144,3.84141315,32760,3.214916585,112.402731,-366.818073
94063,97,3382099,7485102,1677518,157.5578097,1332780,125.1789236,3636.581464,-11854.63
94065,51,635511,8805813,325941,62.71714451,268260,51.61824129,1914.018409,-6235.212078
94066,28,1206828,3062836,656488,43.58281883,478240,31.74931952,1053.60177,-3428.582468
94070,10,310740,1854590,150460,13.04151859,126050,10.92571726,375.064117,-1222.518738
94080,171,11559600,18057600,6181479,288.2883593,4470795,208.506436,6439.717663,-20929.04016
94085,37,859251,4727638,513375,60.98538845,403115,47.88726538,1383.441323,-4515.263362
94086,52,2624804,7272044,1377324,70.4009405,1081860,55.29850746,1944.06319,-6345.934783
94087,13,736684,2091791,334906,16.71104236,282750,14.10857742,485.6748881,-1586.467449
94089,19,434758,2262026,240920,29.26983356,200165,24.31843032,710.7303528,-2318.225923
94102,25,784800,1159300,413875,22.94716123,74875,4.151419383,944.526411,-3060.429636
94103,50,1535150,3788200,876200,55.75919562,153500,9.768359425,1888.85596,-6120.394687
94104,6,2574,309000,954,4.336363636,0,0,226.7395725,-734.4030942
94105,34,371144,7275558,217566,39.65117551,38420,7.002004738,1284.80258,-4161.428778
